index,author,statement,source,date,label,predicted_label,reasoning
63,Ciara O'Rourke,“NASA admits space and planets are fake.”,Viral image,"November 8, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim. NASA, the National Aeronautics and Space Administration, is a U.S. government agency that conducts space exploration and research. It has never claimed that space and planets are fake. This is a baseless conspiracy theory."
67,Louis Jacobson,"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",Joe Biden,"November 7, 2023",mostly-true,mostly-true,"The statement is mostly accurate. According to the U.S. Department of Agriculture, the number of farms in the U.S. has indeed decreased significantly over the past few decades. However, the exact numbers may vary depending on the source and the definition of a ""farm"". The comparison of the lost farmland to the size of Minnesota, North and South Dakota combined is a good approximation but may not be entirely accurate."
69,Hope Karnopp,Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,"Rachael Cabral-Guevara,","November 7, 2023",mostly-true,mostly-true,"The statement is likely accurate as child care costs can vary greatly depending on various factors such as location, type of care, and the number of children. However, it lacks context and additional information. For instance, it doesn't specify whether these are registered child care providers, or informal arrangements. It also doesn't provide information on what this rate includes, such as meals, educational activities, etc."
71,Ciara O'Rourke,Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,Viral image,"November 7, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim. As of my knowledge cut-off in 2021, there is no evidence or credible reports of someone impersonating President Joe Biden visiting Israel in October 2023. This seems like a conspiracy theory without any factual basis."
72,Ciara O'Rourke,Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,Instagram posts,"November 7, 2023",pants-fire,pants-fire,"The statement is not only false, but it also makes a ridiculous and unfounded claim. There is no credible evidence to support the assertion that Courteney Cox, or any other celebrity, uses adrenochrome from kidnapped children. This is a conspiracy theory without any basis in fact."
77,Louis Jacobson,“Because of our economic policies we now are reducing inflation.”,Kamala Harris,"November 3, 2023",barely-true,mostly-true,"The statement is accurate in that economic policies can indeed influence inflation rates. However, it lacks specific details about which policies are being referred to, and it does not provide any data or evidence to support the claim that inflation is currently being reduced. Therefore, while the statement is generally true, it needs additional information or clarification."
84,Sophia Voight,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",Melissa Agard,"November 3, 2023",true,False,"The statement is not accurate. While it's true that some states in the U.S. do not tax certain food items, it's unlikely that items like potato chips and KitKat bars would be considered ""essential"" and thus exempt from tax. Furthermore, prescription drugs like Viagra are typically not taxed in many states, but not because they are considered ""essential,"" but because they are prescription medications."
85,Grace Abels,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,"November 3, 2023",half-true,half-true,"While it's true that there have been proposals by Republicans to cut certain health programs, it's not accurate to say they are trying to ""wipe out"" federal funding to end the HIV epidemic. The statement leaves out important details and context about the specific programs and amounts of funding involved."
87,Ciara O'Rourke,“Dr. Fauci doesn’t exist!”,Instagram posts,"November 2, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim. Dr. Anthony Fauci is a well-known public figure, serving as the director of the National Institute of Allergy and Infectious Diseases (NIAID) and the chief medical advisor to the president. His existence is not a matter of debate."
88,Louis Jacobson,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,Vivek Ramaswamy,"November 2, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details. The support for either Hamas or Israel among Gen Z is likely to vary greatly depending on many factors such as geographical location, political beliefs, religious beliefs, and personal experiences. Without specific data or a source to back up this claim, it's hard to say that Gen Z is exactly divided 50-50 on this issue."
89,Anthony Starkey,"Gasoline prices are ""up 63%"" under President Joe Biden.",Chris Rose,"November 2, 2023",half-true,half-true,"While it's true that gasoline prices have increased since President Joe Biden took office, attributing the entire increase to his policies is misleading. Gasoline prices are influenced by a variety of factors, including global oil prices, supply and demand, and geopolitical events. It's also important to note that prices were unusually low in 2020 due to the COVID-19 pandemic, which led to a decrease in demand for gasoline. Therefore, some increase was expected as the economy recovered."
92,Grace Abels,“Every President we ever had in the United States of America was a draconian reptilian.”,Facebook posts,"November 1, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim. The claim that every U.S. President was a ""draconian reptilian"" is a conspiracy theory without any factual basis."
93,Amy Sherman,Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,MAGA Inc,"November 1, 2023",mostly-true,Mostly-true,"While it's true that Ron DeSantis, as a congressman, co-sponsored a bill in 2017 that would have made Puerto Rico a state, the statement could be misleading without this context. The term ""sponsored"" often implies that a person was the primary driver behind a bill, which is not the case here. DeSantis was one of 37 co-sponsors of the bill, not the sole sponsor."
94,Louis Jacobson,"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",Nikki Haley,"November 1, 2023",mostly-true,false,"The statement is not accurate. There is no credible evidence or reports to suggest that China is developing ""neuro-strike weapons"" designed to alter brain activity. This claim seems to be based on speculation and lacks factual basis."
105,Amy Sherman,“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,Ron DeSantis,"October 31, 2023",half-true,Mostly-true,"While it's true that in March 2020, President Trump signed the Coronavirus Aid, Relief, and Economic Security (CARES) Act, which included $400 million in election assistance, it's not accurate to say that all of this money was specifically for mail ballots. The funds were for states to prepare for the 2020 election during the COVID-19 pandemic, which could include expanding mail-in voting, but also other measures like online registration, early voting, and election worker training. Therefore, the statement needs some clarification."
107,Laura Schulte,"“Wisconsin has historically … and I think largely continues to be, a blue state.”",Scott Walker,"October 31, 2023",barely-true,half-true,"While it is true that Wisconsin has historically leaned Democratic, or ""blue,"" in many elections, it is not entirely accurate to say it ""largely continues to be"" a blue state. The state has shown a trend of being a swing state in recent years, with its electoral votes going to both Democratic and Republican presidential candidates. For instance, in the 2016 Presidential Election, Wisconsin voted for the Republican candidate, Donald Trump. Therefore, the statement leaves out important details about the state's recent political trends."
115,Louis Jacobson,“It is harder to buy Sudafed than an AR-15 in Maine.”,Shannon Watts,"October 27, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details. While it is true that purchasing Sudafed, a common cold medicine, can be regulated due to its use in making illegal drugs, and that in some cases, buying a gun like an AR-15 might not require the same level of scrutiny, the comparison is not entirely fair. The process of buying a gun can vary greatly depending on the seller (private sellers vs. licensed dealers), the buyer's background, and specific state laws. In Maine, private sellers are not required to perform background checks, but licensed dealers are. Therefore, the ease of purchasing an AR-15 can vary."
117,Ricardo Torres,"The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County, which funds transit.""",Chris Larson,"October 27, 2023",barely-true,half-true,"The statement is partially accurate. While it's true that the Milwaukee Brewers have expressed concerns about transit to the ballpark, it's not entirely accurate to say they are ""taking"" money away from Milwaukee County. The Brewers may support a proposal that could result in less funding for transit, but they are not directly responsible for the allocation of county funds. The statement leaves out these important details."
119,Ciara O'Rourke,Video shows a President Joe Biden impostor.,Viral image,"October 27, 2023",pants-fire,False,The statement is not accurate. There is no credible evidence or widely reported incidents of a President Joe Biden impostor being used in a video.
120,Louis Jacobson,“Prices have increased over 17% in the last two years.”,Mike Johnson,"October 26, 2023",half-true,mostly-true,"Without specifying what prices are being referred to, it's difficult to fully assess the accuracy of this statement. However, it is generally true that prices for many goods and services do increase over time due to inflation and other factors."
121,Louis Jacobson,"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",Mike Johnson,"October 26, 2023",mostly-true,half-true,"The statement is partially accurate. The U.S. national debt does increase every second due to interest and spending, but the exact amount can vary. Without knowing the length of the speech, it's hard to determine if the debt would increase by exactly $20 million."
123,Louis Jacobson,"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",Donald Trump,"October 26, 2023",half-true,false,"The statement is not accurate. Louis Jacobson is a journalist, not a former office holder, so he couldn't have influenced Iran's foreign exchange reserves. Furthermore, Iran was not broke when he left his position."
124,Madeline Heim,"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""",Opportunity Wisconsin,"October 25, 2023",half-true,mostly-true,"The statement is mostly accurate. The repeal of Roe v. Wade could potentially lead to a decline in enrollment in OB-GYN residency programs due to the inability of residents to receive training in-state. However, the statement needs clarification as it does not provide specific data or evidence to support the claim. It also does not specify which state is being referred to."
129,Hope Karnopp,"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",Melissa Agard,"October 25, 2023",true,half-true,"The statement is partially accurate but leaves out important details. While it may be true that the state Senate has only rejected a certain number of executive appointments since 1981, the statement does not specify which state Senate is being referred to, nor does it provide any context or evidence for the claim that the GOP is currently rejecting more than double that number. Without this information, it's impossible to fully verify the accuracy of the statement."
132,Marta Campabadal,Este video muestra al Dr. Juan Rivera hablando sobre un medicamento para la artritis y la artrosis.,Facebook posts,"• October 24,",pants-fire,false,"Without the specific video or any additional context, it's impossible to verify whether this statement is true or not."
134,Aidan Cornue,"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",One Nation,"October 24, 2023",barely-true,half-true,"The statement is partially accurate as Sen. Joe Manchin's support for the Inflation Reduction Act could potentially impact fossil fuel jobs in West Virginia. However, the specific number of 100,000 jobs is not substantiated and seems to be an estimate or speculation, not a confirmed fact. The actual impact would depend on various factors including the specifics of the legislation, how it is implemented, and how the fossil fuel industry adapts."
136,Madison Ely,"Jim Justice ""opposes the Right to Work”",Alex Mooney,"October 24, 2023",barely-true,half-true,"The statement is partially accurate. Jim Justice, the governor of West Virginia, did express opposition to the Right to Work law when it was passed in his state in 2016. However, it's important to note that his opposition was not absolute. He stated that he would not have signed the bill into law, but he also did not take any action to repeal it once it was passed. Therefore, the statement leaves out important details about his stance."
143,Louis Jacobson,"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",Vivek Ramaswamy,"October 20, 2023",half-true,mostly-true,"While it is true that Russia has announced and reportedly tested hypersonic missile capabilities, it's not entirely clear if they are significantly ahead of the U.S. in this technology. The U.S. is also developing hypersonic weapons and has conducted tests. The statement could use some clarification on what is meant by ""ahead"" - in terms of development, deployment, or operational capabilities."
146,Maria Ramirez,"“In the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and you know how many beds we have to detain people at the border? Thirty-eight thousand.""",Chris Christie,"• October 20,",mostly-true,mostly-true,"The statement is mostly accurate. The number of apprehensions at the border can vary greatly month by month, but it has reached 200,000 in some months. The number of beds available for detention at the border is indeed limited, but the exact number can vary depending on the source and the specific time frame. However, the overall point that there is a significant discrepancy between the number of apprehensions and the capacity for detention is correct."
150,Max Cohen,“2022 was the biggest tourism year ever in West Virginia”,Jim Justice,"October 20, 2023",half-true,false,"As an AI model, my training only goes up until September 2021, and I don't have the ability to access real-time data or predict future events. Therefore, I can't verify or refute the claim about tourism in West Virginia in 2022."
153,Anthony Starkey,“The Inflation Reduction Act led to higher taxes.”,Americans for Prosperity,"October 19, 2023",barely-true,false,"There is no record or evidence of an ""Inflation Reduction Act"" leading to higher taxes. The statement is not accurate."
154,Ashala Moseberry,"""Credit card debt is above $1 trillion for the FIRST TIME EVER.""",Jim Justice,"October 19, 2023",mostly-true,mostly-true,"The statement is accurate in that credit card debt in the United States has surpassed $1 trillion. However, it needs clarification on when this happened because it's not the ""FIRST TIME EVER"". According to the Federal Reserve, U.S. credit card debt crossed the $1 trillion threshold in 2017."
160,Tyler Katzenberger,"There are ""about a half a dozen"" transgender athletes competing in Wisconsin K-12 schools.",Barbara Dittrich,"October 18, 2023",barely-true,mostly-true,"The statement is likely accurate, but without specific data or a source, it's hard to confirm the exact number of transgender athletes in Wisconsin K-12 schools. The number could fluctuate over time."
161,Sara Swann,“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Instagram posts,"October 18, 2023",true,Mostly-true,"The statement is accurate as Lego has indeed donated model MRI kits to hospitals to help children understand the procedure and reduce their anxiety. However, it needs clarification that this initiative was a collaboration between Lego and a team of researchers and radiologists, not solely a Lego initiative."
162,Amy Sherman,The Democrats are pushing “to take in a million Palestinian refugees.”,Andy Biggs,"October 18, 2023",pants-fire,False,The statement is not accurate. There is no evidence or policy proposal from the Democratic party that suggests they are pushing to take in a million Palestinian refugees. This seems to be a misrepresentation or misunderstanding of the party's stance on immigration and refugee issues.
168,Loreben Tuquero,“There isn't a single video or photo suggesting that 250 people were killed (by Hamas) at a concert or that a mass shooting took place” on Oct. 7 in Israel.,Instagram posts,"October 13, 2023",pants-fire,false,The statement is not accurate. There is no record or news report of such an event happening in Israel on October 7. The author seems to be spreading misinformation or may be confused with the facts.
169,Jeff Cercone,Biden is “funding every angle” of the Israel-Hamas war.,Instagram posts,"October 13, 2023",barely-true,false,"The statement is not accurate. While the U.S. does provide military aid to Israel, it is not accurate to say that President Biden is ""funding every angle"" of the Israel-Hamas conflict. The U.S. does not provide funding to Hamas, which is considered a terrorist organization by the U.S. government. This statement oversimplifies and misrepresents the complex nature of U.S. involvement in the Israel-Palestine conflict."
171,Amy Sherman,"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",Brian Krassenstein,"October 13, 2023",true,Mostly-true,"While it is true that the U.S. State Department has a policy that requires Americans being evacuated from overseas to sign a promissory note, the exact duration of this policy being in place is not specified in the statement. The policy is indeed longstanding, but without specific evidence, it's hard to confirm if it has been in place for ""at least 79 years""."
172,Sara Swann,Less than 48 hours after Israel was attacked “we have hundreds of hours worth of footage but zero footage from the Ukraine war.”,Instagram posts,"October 13, 2023",pants-fire,false,"The statement is not accurate. The availability of footage from a war or conflict depends on many factors, including the presence of journalists and the conditions on the ground. It's not plausible that there would be zero footage from the Ukraine war, as there are numerous news outlets and independent journalists covering the conflict. Additionally, the comparison with Israel is misleading, as the media coverage of different conflicts can vary greatly due to a range of factors."
175,Ciara O'Rourke,The 2023 Israel-Hamas war is a “false flag.”,Instagram posts,"October 13, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. As of my knowledge cut in 2021, there is no evidence or credible source to suggest that a 2023 Israel-Hamas war is a ""false flag"". This statement seems to be promoting a conspiracy theory without any factual basis."
184,Ciara O'Rourke,“Kamala Harris is not a ‘natural born citizen’” and “can’t be president.”,Viral image,"October 12, 2023",pants-fire,false,"Kamala Harris was born in Oakland, California, which makes her a natural-born U.S. citizen. The U.S. Constitution states that ""No person except a natural born Citizen, or a Citizen of the United States, at the time of the Adoption of this Constitution, shall be eligible to the Office of President."" Therefore, she is eligible to be president."
186,Maria Ramirez,"“The same people that raided Israel are pouring into our once beautiful USA, through our TOTALLY OPEN SOUTHERN BORDER, at Record Numbers.”",Donald Trump,"• October 12,",pants-fire,false,"The statement is not accurate. The claim that people who raided Israel are pouring into the USA through the southern border is not substantiated by any credible source or data. Furthermore, the assertion that the southern border is ""totally open"" is also incorrect. The U.S. southern border has multiple layers of security including physical barriers, surveillance technology, and law enforcement personnel."
187,Jacquie Broush,“Since Biden took office ... real wages have fallen monthly.”,West Virginia Republican Party,"October 12, 2023",mostly-true,half-true,"While it's true that real wages (which are wages adjusted for inflation) have seen some decrease during Biden's administration, this statement is misleading as it implies that this is a consistent, monthly occurrence. The fluctuation of real wages is influenced by a variety of factors, including inflation and economic conditions, not just the actions of the president. Furthermore, there have been months where real wages have increased. Therefore, the statement is only partially accurate and leaves out important details."
188,Ciara O'Rourke,"Video shows President Joe Biden telling a child, “You’re one sexy kid.”",Instagram posts,"October 12, 2023",pants-fire,false,This statement is not accurate. There is no credible evidence or record of President Joe Biden making such a statement. It is likely a misinterpretation or manipulation of his words.
200,D.L. Davis,"""Derrick Van Orden is one of the only members of Congress who participated in the deadly January 6th insurrection. He now serves in the building he tried to burn down.""",Rebecca Cooke,"October 11, 2023",barely-true,false,"Derrick Van Orden, a Republican candidate for Congress, was present at the January 6th rally in Washington D.C., but there is no evidence to suggest that he participated in the insurrection at the Capitol building or attempted to burn it down. Furthermore, as of the time of this statement, he is not a member of Congress. Therefore, the claim is false."
202,Louis Jacobson,"The Biden administration “wanted Israel to stand down after the attack"" by Hamas.",Tim Scott,"October 10, 2023",barely-true,half-true,"The statement is partially accurate. The Biden administration did call for de-escalation and a ceasefire during the conflict between Israel and Hamas in May 2021. However, saying they ""wanted Israel to stand down"" oversimplifies the situation and could be interpreted as the administration taking a side, which is not entirely accurate. The U.S. government's stance was more nuanced, advocating for a reduction in violence and protection of civilians on both sides."
203,Tayler Pillo,West Virginia University has “increased the amount of unfunded institutional aid provided to students and expects this amount to exceed $134 million in 2024.”,Paula Congelio,"October 10, 2023",half-true,mostly-true,"The statement is likely accurate as universities often increase institutional aid over time. However, without specific data or a source to confirm the exact amount and the projection for 2024, some clarification or additional information is needed."
204,Cody Matorin,E. Gordon Gee’s university projects have increased “WVU’s debt load by 55%.”,West Virginia University Faculty Senate,"October 10, 2023",barely-true,half-true,"The statement is partially accurate. While it's true that university projects can contribute to an increase in a university's debt load, the statement doesn't provide enough context or detail. It doesn't specify which projects contributed to the debt increase, or whether other factors may have also contributed to the increase. It also doesn't provide a time frame for the increase."
206,Griff Bihun,“Fewer than 2% of students are impacted whatsoever by the decisions we're making” to cut the budget.,E. Gordon Gee,"October 10, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details. Without specific context or data, it's hard to determine the accuracy of this claim. Budget cuts in education can have wide-ranging impacts, and it's unlikely that only 2% of students would be affected. However, the impact could vary depending on the specifics of the budget cuts."
209,Loreben Tuquero,"1,609 scientists signed a declaration saying “There is no climate emergency.”",X posts,"October 9, 2023",barely-true,barely-true,"While it's true that a group of scientists did sign a declaration stating ""There is no climate emergency,"" this statement ignores the fact that the overwhelming majority of the scientific community agrees that climate change is a serious and urgent issue. The Intergovernmental Panel on Climate Change (IPCC), which includes thousands of scientists from around the world, has repeatedly warned of the dangers of unchecked climate change. Therefore, this statement, while containing an element of truth, is misleading because it ignores the broader scientific consensus."
223,Aubrey Burkhardt,“The percentage of students that are going to college (in West Virginia) has been declining for five years.”,George Zimmerman,"October 6, 2023",mostly-true,half-true,"Without specific data or statistics, it's hard to definitively say whether this statement is completely true or false. While it's possible that college enrollment rates in West Virginia have been declining, the statement lacks context and specific information to fully support the claim."
224,Michelle Peribanez,“Gas prices have skyrocketed since Joe Biden took office and continue to do so everyday.”,Carol Miller,"October 6, 2023",half-true,half-true,"While it's true that gas prices have increased since Joe Biden took office, attributing the rise solely to his presidency is misleading. Gas prices are influenced by a variety of factors, including global oil prices, supply and demand, and geopolitical events. It's also not accurate to say they ""continue to do so everyday,"" as prices can fluctuate daily based on these factors."
225,Derek Nastasi,Foreign languages are “not a high priority” nationally,E. Gordon Gee,"October 6, 2023",half-true,half-true,"The statement is partially accurate as the emphasis on foreign language education can vary greatly depending on the region, school district, or individual school in the United States. However, it leaves out important details such as the increasing importance of foreign language skills in a globalized economy and the fact that many schools do prioritize foreign language education."
