index,author,statement,source,date,label,predicted_label,reasoning
33,Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true,pants-fire,"The statement makes a ridiculous claim that a map was drawn entirely in secret by an Ohio consultant with taxpayer dollars. However, there is no evidence or information provided to support this claim. Without any further context or evidence, it is not possible to verify the accuracy of this statement."
37,Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context.

The statement claims that an exemption in a new Florida law allowed Chinese nationals to buy land within a 20-mile radius of a military base, and that this exemption was lobbied for by one of Governor Ron DeSantis' donors. 

Based on the search results, it is true that there was an exemption in a new Florida law that allowed Chinese nationals to buy land within a 20-mile radius of a military base. However, it is important to note that this exemption was not specifically lobbied for by one of Governor Ron DeSantis' donors. The article does not provide any evidence or information to support this claim. Therefore, the statement is partially accurate but leaves out important details regarding the lobbying aspect."
39,Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

The statement claims that ""We sell arms to 60% of the world's autocrats"" and ""We are the world's largest arms exporters."" While it is true that the country or entity being referred to sells arms to a significant number of autocrats, the statement does not provide any specific information about which country or entity is being referred to. Additionally, the claim of being the world's largest arms exporter is not supported by any evidence or data. Without more specific information and evidence, it is difficult to determine the accuracy of these claims."
40,Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",true,true,"The statement is accurate and supported by federal data. According to the Politifact rating, Texas produced more wind energy than any other state, including California, in 2022. Texas produced over 114,000 megawatt hours of wind energy compared to California's production of 14,600 megawatt hours. The statement made by Sarah Bahari is consistent with this data."
44,Ciara O'Rourke,A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,TikTok posts,"November 10, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement suggests that the sighting of a B-2 stealth bomber over New York means that Hezbollah may declare war on Israel. This claim is baseless and lacks any evidence or logical reasoning. There is no credible information or news reports to support this claim. Therefore, the statement can be classified as pants-fire."
48,Ciara O'Rourke,“Jews did 9/11.”,Instagram posts,"November 10, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement ""Jews did 9/11"" is a baseless and offensive conspiracy theory that has been debunked numerous times. There is no credible evidence to support this claim, and it is widely recognized as a form of anti-Semitism."
49,Jeff Cercone,Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram posts,"November 9, 2023",pants-fire,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. The search results clearly state that there is no evidence that Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel. The claim seems to have originated from a deepfake video and has been debunked by experts.
50,Louis Jacobson,"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",Chris Christie,"November 9, 2023",barely-true,mostly-true,"The statement is mostly true but needs clarification or additional information. 

The statement refers to a promise made by the United States to Ukraine in 1992. It states that if Ukraine returned nuclear missiles to Russia, and Russia were to invade Ukraine, the United States would protect Ukraine. This promise is known as the Budapest Memorandum on Security Assurances. 

The statement is mostly true because the Budapest Memorandum did indeed involve a promise of security assurances to Ukraine in exchange for giving up its nuclear weapons. However, it is important to note that the memorandum was not a formal treaty and did not guarantee military intervention by the United States in the event of an invasion. The memorandum was signed by the United States, Russia, and the United Kingdom, and it provided assurances of respect for Ukraine's sovereignty and territorial integrity. While the United States did condemn Russia's invasion of Ukraine in 2014 and provided some military assistance to Ukraine, it did not fulfill the promise of direct military protection. Therefore, the statement is mostly true but needs clarification regarding the limitations of the security assurances provided by the Budapest Memorandum."
52,Ciara O'Rourke,Video shows someone wearing a Donald Trump mask appeared in court instead of the former president.,Viral image,"November 9, 2023",pants-fire,false,"The statement is not accurate. The given statement claims that a video shows someone wearing a Donald Trump mask appearing in court instead of the former president. However, there is no evidence or information provided in the search results or the statement itself to support this claim. The search results only mention a video showing Trump sitting in a courtroom, but there is no mention of someone wearing a Trump mask or appearing in court instead of him. Therefore, the statement is false."
57,Jeff Cercone,"""Acapulco destroyed by yet another directed weather attack!”",Instagram posts,"November 9, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement suggests that Acapulco was destroyed by a directed weather attack, which implies a deliberate and targeted act of weather manipulation. However, there is no credible evidence or scientific basis to support such a claim. It is important to rely on factual information and scientific consensus when evaluating such statements."
58,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. According to Politifact, the claim made by Tyler Katzenberger that Meagan Wolfe, the Wisconsin elections administrator, ""refuses to clean up our voter rolls"" is rated as Pants on Fire. The impeachment articles against Wolfe falsely claim that Wisconsin has more registered voters than residents, and the articles included inactive voters in with the count. Therefore, the statement is not accurate and includes false information."
60,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire,barely-true,"The statement contains an element of truth, as it is true that Meagan Wolfe allowed for the use of drop boxes and ballot harvesting. However, the statement is misleading as it implies that she specifically permitted the influence of ""Zuckerbucks"" money, which is not supported by the evidence provided. The use of the term ""Zuckerbucks"" also suggests a conspiracy or bias."
63,Ciara O'Rourke,“NASA admits space and planets are fake.”,Viral image,"November 8, 2023",pants-fire,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. A search for this statement reveals that there is no credible evidence or official statement from NASA admitting that space and planets are fake. This claim is likely a conspiracy theory or misinformation.
67,Louis Jacobson,"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",Joe Biden,"November 7, 2023",mostly-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context.

The statement accurately states that over the past four decades, America has lost over 400,000 farms and over 140 million acres of farmland. However, it fails to provide important context such as the reasons behind the loss of farms and farmland. Factors such as urbanization, consolidation of farms, and changes in agricultural practices have contributed to this loss. Additionally, the comparison to the size of Minnesota, North and South Dakota combined is meant to provide a visual representation of the area lost but does not provide a complete understanding of the impact."
69,Hope Karnopp,Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,"Rachael Cabral-Guevara,","November 7, 2023",mostly-true,mostly-true,"The statement is mostly true because it is supported by a fact-check article from the Milwaukee Journal Sentinel. The article states that some individuals or businesses in Wisconsin are indeed charging $2 or $2.25 an hour for child care. However, it is important to note that this may not be the standard rate for all child care providers in Wisconsin and there may be additional factors or conditions that apply."
71,Ciara O'Rourke,Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,Viral image,"November 7, 2023",pants-fire,false,"The statement is not accurate. The search results indicate that President Joe Biden did visit Israel in October 2023, but there is no evidence or information about a video showing someone impersonating him during that visit."
72,Ciara O'Rourke,Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,Instagram posts,"November 7, 2023",pants-fire,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. The claim that actor Courteney Cox uses adrenochrome from kidnapped children is a baseless conspiracy theory with no evidence to support it. Adrenochrome conspiracy theories have been debunked and are often associated with antisemitic beliefs. The search results also indicate that the supposed evidence provided in the photos is actually a result of photo filters designed to alter the appearance of the actor.
77,Louis Jacobson,“Because of our economic policies we now are reducing inflation.”,Kamala Harris,"November 3, 2023",barely-true,mostly-true,"The statement is partially accurate but needs clarification or additional information. The statement claims that ""Because of our economic policies we now are reducing inflation."" According to the search results, inflation has fallen since mid-2022 on Biden's watch, suggesting that some of his policies may have contributed to this decline. However, the statement does not provide specific details about which economic policies are responsible for reducing inflation, leaving room for further clarification."
84,Sophia Voight,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",Melissa Agard,"November 3, 2023",true,mostly-true,"The statement is mostly true. According to the search results, potato chips, KitKat bars, and Viagra are indeed tax-exempt in Wisconsin because they are considered ""essential"" grocery items. However, it is important to note that this exemption applies specifically to these items in Wisconsin and may not be the case in other states."
85,Grace Abels,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,"November 3, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. The statement claims that Republicans in Congress are ""trying to wipe out federal funding to end the HIV epidemic."" According to the search results, a subcommittee of House Republicans has proposed cutting some HIV prevention programs anywhere from 53% to 9% in fiscal 2024, depending on the program. While this does indicate a reduction in funding, it does not necessarily mean that Republicans are trying to completely eliminate federal funding to end the HIV epidemic. Therefore, the statement is partially accurate but lacks important context."
87,Ciara O'Rourke,“Dr. Fauci doesn’t exist!”,Instagram posts,"November 2, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. A web search would reveal that Dr. Fauci, also known as Dr. Anthony Fauci, is a real person and a prominent figure in the field of infectious diseases. He has been the director of the National Institute of Allergy and Infectious Diseases (NIAID) since 1984 and has played a significant role in advising the U.S. government during public health crises, including the COVID-19 pandemic. The claim that he doesn't exist is baseless and lacks any evidence."
88,Louis Jacobson,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,Vivek Ramaswamy,"November 2, 2023",barely-true,mostly-false,"The statement is mostly false because it exaggerates the level of division among Gen Z regarding their support for Hamas or Israel. The Harvard-Harris poll mentioned in the search results found that 48% of 18-to-24 year olds surveyed said they sided with Hamas, not 50%. Therefore, the statement misrepresents the poll results and overstates the level of division."
89,Anthony Starkey,"Gasoline prices are ""up 63%"" under President Joe Biden.",Chris Rose,"November 2, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context.

The statement claims that gasoline prices are ""up 63%"" under President Joe Biden. However, without additional information or context, it is difficult to determine the accuracy of this claim. Gasoline prices can be influenced by various factors such as global oil prices, supply and demand, and geopolitical events. It is important to consider these factors before attributing any changes in gasoline prices solely to the actions of a specific president. Additionally, the statement does not provide any comparison to previous prices or a specific time frame, making it difficult to assess the accuracy of the claim. A web search did not provide any specific information or data to support or refute the claim. Therefore, the statement is classified as half-true."
92,Grace Abels,“Every President we ever had in the United States of America was a draconian reptilian.”,Facebook posts,"November 1, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement suggests that every President in the United States was a draconian reptilian, which is a baseless and absurd conspiracy theory. There is no credible evidence to support this claim, and it is widely regarded as a false and unfounded belief."
93,Amy Sherman,Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,MAGA Inc,"November 1, 2023",mostly-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that Gov. Ron DeSantis co-sponsored a bill in 2018 that outlined steps for Puerto Rico to become a state, he was not the original sponsor or author of the bill. The statement implies that he was solely responsible for the bill, which is not accurate."
94,Louis Jacobson,"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",Nikki Haley,"November 1, 2023",mostly-true,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. Neuro-strike weapons, as described in the statement, do not exist. There is no credible evidence or information to support the claim that China is the largest developer of such weapons. This statement appears to be a fabrication or a misinterpretation of information."
105,Amy Sherman,“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,Ron DeSantis,"October 31, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

The statement claims that Republicans and Trump funded $400 million in March of 2020 for mail ballots. According to the search results, while some of the funding did go towards expanding voting by mail, officials also used the money to provide safe in-person voting. Therefore, the statement is partially correct but fails to mention the full scope of how the funds were used."
107,Laura Schulte,"“Wisconsin has historically … and I think largely continues to be, a blue state.”",Scott Walker,"October 31, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

Based on the statement made by Laura Schulte, she claims that Wisconsin has historically been a blue state and largely continues to be. While it is true that Wisconsin has a history of leaning towards the Democratic Party, it is important to note that the state has also had periods of Republican dominance. In recent years, Wisconsin has been considered a swing state, with both Democrats and Republicans winning elections. Therefore, the statement is partially accurate but fails to acknowledge the changing political landscape in Wisconsin."
115,Louis Jacobson,“It is harder to buy Sudafed than an AR-15 in Maine.”,Shannon Watts,"October 27, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

Based on the search results, it seems that the statement is being repeated by multiple individuals, including Shannon Watts and Mike Johnson, but it is not clear what specific context they are referring to. Without more information, it is difficult to determine the accuracy of the statement. It is possible that there are certain restrictions or regulations in Maine that make it more difficult to buy Sudafed compared to buying an AR-15, but without specific details, it is hard to verify the claim. Therefore, the statement is classified as half-true."
117,Ricardo Torres,"The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County, which funds transit.""",Chris Larson,"October 27, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

The statement claims that the Milwaukee Brewers are complaining about a lack of transit to the ballpark while also testifying in favor of taking $135 million away from Milwaukee County, which funds transit. While it is true that the Milwaukee Brewers have expressed concerns about the lack of transit options to the ballpark, there is no evidence provided to support the claim that they are testifying in favor of taking $135 million away from Milwaukee County. Without further information or evidence, it is difficult to determine the accuracy of this claim."
119,Ciara O'Rourke,Video shows a President Joe Biden impostor.,Viral image,"October 27, 2023",pants-fire,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. The search results indicate that there is no evidence or credible information to support the claim that there is a President Joe Biden impostor. The article mentioned in the search results also debunks the claim and states that the video footage does not show a President Joe Biden impostor.
120,Louis Jacobson,“Prices have increased over 17% in the last two years.”,Mike Johnson,"October 26, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

The statement claims that prices have increased over 17% in the last two years. Without further information, it is difficult to determine the specific context or the type of prices being referred to. Additionally, the statement does not provide any comparison to previous years or any specific data sources. To fully evaluate the accuracy of this claim, it would be necessary to examine the specific prices being referred to and compare them to previous years' data."
121,Louis Jacobson,"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",Mike Johnson,"October 26, 2023",mostly-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

The statement implies that the debt is increasing rapidly and will continue to do so during the duration of the speech. However, without additional information, it is difficult to determine the accuracy of the claim. The statement does not provide any context or specific details about the debt being referred to. To make an accurate assessment, it would be necessary to know the current debt level, the rate at which it is increasing, and the duration of the speech. Without this information, it is difficult to determine the accuracy of the claim."
123,Louis Jacobson,"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",Donald Trump,"October 26, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context.

The statement claims that when the speaker came into office, Iran had $70 billion in foreign exchange reserves and by the time they left, Iran had nothing and was broke. While it is true that Iran's foreign exchange reserves have significantly decreased over the years, it is not accurate to claim that they had nothing. According to the International Monetary Fund (IMF), Iran's foreign exchange reserves were estimated to be around $120 billion in 2013, before the speaker came into office. However, due to economic sanctions and other factors, Iran's reserves did decrease over time. As of 2021, Iran's foreign exchange reserves were estimated to be around $80 billion. Therefore, the statement exaggerates the situation by claiming that Iran had nothing when the speaker left office."
124,Madeline Heim,"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""",Opportunity Wisconsin,"October 25, 2023",half-true,mostly-true,"The statement is accurate but needs clarification or additional information. The statement claims that the repeal of Roe v. Wade has exacerbated the state's OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state. While the statement is accurate in highlighting the potential impact of the repeal on the OB-GYN shortage, it would benefit from providing more specific evidence or data to support the claim. Additionally, it would be helpful to know which state or states are being referred to in the statement."
129,Hope Karnopp,"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",Melissa Agard,"October 25, 2023",true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. The statement claims that the GOP is more than doubling the number of executive appointments rejected by the state Senate since 1981. However, it does not provide any specific numbers or context to support this claim. Without this information, it is difficult to determine the accuracy of the statement."
132,Marta Campabadal,Este video muestra al Dr. Juan Rivera hablando sobre un medicamento para la artritis y la artrosis.,Facebook posts,"• October 24,",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement claims that the video shows Dr. Juan Rivera talking about a medication for arthritis and osteoarthritis. However, upon searching, it is revealed that the video is fake and uses the image of Dr. Juan Rivera to sell a false treatment. The video is a misleading advertisement and does not provide accurate information about a medication for arthritis and osteoarthritis."
134,Aidan Cornue,"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",One Nation,"October 24, 2023",barely-true,mostly-false,"The statement is mostly false because the claim that Sen. Joe Manchin's support for the Inflation Reduction Act could cost West Virginia 100,000 fossil fuel jobs is not supported by estimates. The fact-checking source states that there aren't even 100,000 fossil fuel jobs in West Virginia currently, making the claim mathematically impossible."
136,Madison Ely,"Jim Justice ""opposes the Right to Work”",Alex Mooney,"October 24, 2023",barely-true,mostly-false,"The statement is mostly false because there is no evidence that Jim Justice definitively opposes the ""right-to-work"" law. Despite being in office for almost seven years, the law remains in place, and his campaign website does not discuss his views on it."
143,Louis Jacobson,"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",Vivek Ramaswamy,"October 20, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context.

The statement claims that Russia has hypersonic missile capabilities ahead of the U.S. However, without further information or evidence, it is difficult to determine the accuracy of this claim. It is possible that Russia has made advancements in hypersonic missile technology, but it is also important to consider the capabilities and advancements of the U.S. in this area. Without a comprehensive comparison of the two countries' capabilities, it is not possible to definitively state that Russia is ahead of the U.S. in hypersonic missile technology."
146,Maria Ramirez,"“In the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and you know how many beds we have to detain people at the border? Thirty-eight thousand.""",Chris Christie,"• October 20,",mostly-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context.

The statement claims that in the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and there are only 38,000 beds to detain people at the border. While the number of apprehensions may be accurate, the statement fails to mention that not all apprehensions result in detention. Many individuals are released with a notice to appear in court. Additionally, the statement does not provide any context regarding the capacity of the detention facilities and whether the number of beds is sufficient or not. Therefore, the statement is partially accurate but lacks important details and context."
150,Max Cohen,“2022 was the biggest tourism year ever in West Virginia”,Jim Justice,"October 20, 2023",half-true,mostly-true,"The statement is mostly true because it is based on a statement made by Governor Jim Justice of West Virginia. However, without further information or data to support the claim, it is difficult to verify the accuracy of the statement."
153,Anthony Starkey,“The Inflation Reduction Act led to higher taxes.”,Americans for Prosperity,"October 19, 2023",barely-true,false,The statement is not accurate. The Inflation Reduction Act did not lead to higher taxes. This is based on the information provided in the statement and the fact that the author's name and date match the search results.
154,Ashala Moseberry,"""Credit card debt is above $1 trillion for the FIRST TIME EVER.""",Jim Justice,"October 19, 2023",mostly-true,mostly-true,"The statement is mostly true because it accurately states that credit card debt has surpassed $1 trillion for the first time ever, according to data from the New York Federal Reserve. However, it is important to note that this figure only represents credit card debt and does not include other forms of consumer debt."
160,Tyler Katzenberger,"There are ""about a half a dozen"" transgender athletes competing in Wisconsin K-12 schools.",Barbara Dittrich,"October 18, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. The statement mentions that there are ""about a half a dozen"" transgender athletes competing in Wisconsin K-12 schools. However, without further information or context, it is difficult to determine the exact number or the specific circumstances surrounding these athletes. Additionally, it is important to consider the timeframe and potential changes that may occur in the future."
161,Sara Swann,“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Instagram posts,"October 18, 2023",true,true,The statement is accurate and there is nothing significant missing. The statement is supported by the search results which confirm that Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.
162,Amy Sherman,The Democrats are pushing “to take in a million Palestinian refugees.”,Andy Biggs,"October 18, 2023",pants-fire,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. The search results show that there is no evidence or credible sources to support the claim that Democrats are pushing to take in a million Palestinian refugees. The statement seems to be a fabrication or a misinterpretation of information.
168,Loreben Tuquero,“There isn't a single video or photo suggesting that 250 people were killed (by Hamas) at a concert or that a mass shooting took place” on Oct. 7 in Israel.,Instagram posts,"October 13, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement denies the existence of any video or photo suggesting that 250 people were killed at a concert or that a mass shooting took place in Israel. However, without access to the specific search results, it is difficult to provide a detailed explanation. It is important to note that the statement contradicts the possibility of any evidence existing, which is highly unlikely given the prevalence of video and photo documentation in today's society."
169,Jeff Cercone,Biden is “funding every angle” of the Israel-Hamas war.,Instagram posts,"October 13, 2023",barely-true,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. There is no evidence to support the claim that Biden is funding every angle of the Israel-Hamas war. It is a baseless and false accusation.
171,Amy Sherman,"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",Brian Krassenstein,"October 13, 2023",true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that there has been a policy in place for at least 79 years to require Americans who intend to be evacuated from overseas to sign a promissory note, the statement fails to mention that this policy is not applicable to all situations and is primarily related to non-military evacuations. The context provided in the search results indicates that this policy was implemented during World War II and is still in effect today. Therefore, the statement is partially accurate but lacks important details."
172,Sara Swann,Less than 48 hours after Israel was attacked “we have hundreds of hours worth of footage but zero footage from the Ukraine war.”,Instagram posts,"October 13, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement suggests that there is a deliberate effort to suppress footage from the Ukraine war, which is a baseless conspiracy theory. There is no evidence to support this claim, and it is highly unlikely that there is a deliberate effort to hide footage from the Ukraine war."
175,Ciara O'Rourke,The 2023 Israel-Hamas war is a “false flag.”,Instagram posts,"October 13, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy.

The statement claims that the 2023 Israel-Hamas war is a ""false flag,"" implying that it is a staged event or a deception. This is a conspiracy theory that lacks evidence and is not supported by credible sources. It is important to rely on factual information and verified sources when evaluating such claims."
184,Ciara O'Rourke,“Kamala Harris is not a ‘natural born citizen’” and “can’t be president.”,Viral image,"October 12, 2023",pants-fire,pants-fire,"The statement is false and makes a ridiculous claim. The claim that Kamala Harris is not a 'natural born citizen' and cannot be president is false. Kamala Harris was born in the United States, specifically in Oakland, California, on October 20, 1964. Being born in the United States makes her a natural-born citizen, which is one of the requirements to be eligible for the presidency according to the U.S. Constitution. This statement is likely a baseless conspiracy theory or misinformation."
186,Maria Ramirez,"“The same people that raided Israel are pouring into our once beautiful USA, through our TOTALLY OPEN SOUTHERN BORDER, at Record Numbers.”",Donald Trump,"• October 12,",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The statement suggests that the same people who raided Israel are pouring into the USA through the southern border, which is completely open. This claim is baseless and lacks any evidence. It also implies a conspiracy between the people who raided Israel and the situation at the southern border, which is highly unlikely and lacks any factual basis."
