author,statement,source,date,label
Maria Briceño,"“Just like the Cuban regime, the Biden administration is trying to put their political opponents in jail, shutting down free speech.”",Donald Trump,"November 15, 2023",false
Tyler Katzenberger,“Kids who don’t even know what day it is or their colors can decide to permanently change themselves” through medical gender transition.,Robin Vos,"November 15, 2023",false
Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true
Louis Jacobson,Looking at “American aid to other countries … the vast majority of it is military aid.”,Marianne Williamson,"November 14, 2023",false
Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",true
Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",true
Grace Abels,"Quotes House Speaker Mike Johnson as saying, “Every woman has a duty to birth at least one able-bodied worker.”",Instagram posts,"November 13, 2023",false
Sara Swann,"On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”",Instagram posts,"November 10, 2023",false
Jeff Cercone,“There is a serial killer in Cincinnati.” Seven bodies were found “chopped up.”,Facebook posts,"November 10, 2023",false
Ciara O'Rourke,A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,TikTok posts,"November 10, 2023",pants-fire
Madison Czopek,New York’s fraud case against Trump “has nothing to do with his home in Mar-a-Lago.”,Facebook posts,"November 10, 2023",false
Marta Campabadal,Video muestra gente en Gaza en 2023 maquillándose heridas.,Facebook posts,"• November 10,",false
Ciara O'Rourke,Video shows Ontario Premier Doug Ford promoting Elon Musk’s “latest project.”,Viral image,"November 10, 2023",false
Ciara O'Rourke,“Jews did 9/11.”,Instagram posts,"November 10, 2023",pants-fire
Jeff Cercone,Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram posts,"November 9, 2023",pants-fire
Louis Jacobson,"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",Chris Christie,"November 9, 2023",barely-true
Ciara O'Rourke,Mel Gibson posted about “the end” of Israel and said the country wants “to destroy everything in the way.”,Viral image,"November 9, 2023",false
Ciara O'Rourke,Video shows someone wearing a Donald Trump mask appeared in court instead of the former president.,Viral image,"November 9, 2023",pants-fire
Ciara O'Rourke,Elon Musk is dead.,Viral image,"November 9, 2023",false
Ciara O'Rourke,Video shows TV personalities promoting a diabetes cure.,Viral image,"November 9, 2023",false
Ciara O'Rourke,Videos show singer Kelly Clarkson promoting diet products.,Viral image,"November 9, 2023",false
Ciara O'Rourke,“Taylor Swift pulls ‘Eras’ film screenings in Israel.”,Viral image,"November 9, 2023",false
Jeff Cercone,"""Acapulco destroyed by yet another directed weather attack!”",Instagram posts,"November 9, 2023",pants-fire
Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire
Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “allowed for the use of illegal drop boxes and ballot harvesting.”,"Wisconsin Election Committee, Inc .","November 8, 2023",false
Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire
Ciara O'Rourke,“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”,Viral image,"November 8, 2023",false
Ciara O'Rourke,New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”,Facebook posts,"November 8, 2023",false
Ciara O'Rourke,“NASA admits space and planets are fake.”,Viral image,"November 8, 2023",pants-fire
Ciara O'Rourke,Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.,Viral image,"November 8, 2023",false
Ciara O'Rourke,Video shows California Gov. Gavin Newsom falling down airplane stairs.,Viral image,"November 8, 2023",false
Louis Jacobson,"“Only in Washington can you cut funding, add a pay-for to a new spending measure, and they say it's terrible for the deficit.”",Mike Johnson,"November 7, 2023",false
Louis Jacobson,"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",Joe Biden,"November 7, 2023",mostly-true
Ciara O'Rourke,Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”,Viral image,"November 7, 2023",false
Hope Karnopp,Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,"Rachael Cabral-Guevara,","November 7, 2023",mostly-true
Ciara O'Rourke,Video shows “Israel Zionist blowing up people in hospitals” in 2023.,Viral image,"November 7, 2023",false
Ciara O'Rourke,Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,Viral image,"November 7, 2023",pants-fire
Ciara O'Rourke,Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,Instagram posts,"November 7, 2023",pants-fire
Ciara O'Rourke,"Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.",Facebook posts,"November 6, 2023",false
Sara Swann,Ukrainian President Volodymyr Zelenskyy “has surrendered.”,Instagram posts,"November 6, 2023",false
Jeff Cercone,Israel bombed Palestinian children trying to get water.,TikTok posts,"November 6, 2023",false
Grace Abels,Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,Protect Women Ohio,"November 3, 2023",false
Louis Jacobson,“Because of our economic policies we now are reducing inflation.”,Kamala Harris,"November 3, 2023",barely-true
Sara Swann,1936 in the United States was “much hotter than 2023.”,Facebook posts,"November 3, 2023",false
Ciara O'Rourke,Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.,Facebook posts,"November 3, 2023",false
Ciara O'Rourke,Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.,Viral image,"November 3, 2023",false
Ciara O'Rourke,Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”,Viral image,"November 3, 2023",false
Madison Czopek,“New court documents reveal that George Floyd died of a fentanyl overdose.”,Instagram posts,"November 3, 2023",false
Ciara O'Rourke,U.S. Rep. Mike Johnson is the 45th speaker of the House.,Facebook posts,"November 3, 2023",false
Sophia Voight,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",Melissa Agard,"November 3, 2023",true
Grace Abels,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,"November 3, 2023",half-true
Loreben Tuquero,Irán izó una bandera negra y “esto significa un llamado” a la guerra o venganza.,Facebook posts,"November 2, 2023",false
Ciara O'Rourke,“Dr. Fauci doesn’t exist!”,Instagram posts,"November 2, 2023",pants-fire
Louis Jacobson,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,Vivek Ramaswamy,"November 2, 2023",barely-true
Anthony Starkey,"Gasoline prices are ""up 63%"" under President Joe Biden.",Chris Rose,"November 2, 2023",half-true
Maria Briceño,"“Fallecimiento del exmandatario de la presidencia de Honduras"" en incendio de cárcel en Nueva York.",TikTok posts,"November 2, 2023",false
Maria Briceño,Video muestra “momento cuando el huracán Otis llegó a Acapulco”.,Facebook posts,"November 2, 2023",false
Grace Abels,“Every President we ever had in the United States of America was a draconian reptilian.”,Facebook posts,"November 1, 2023",pants-fire
Amy Sherman,Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,MAGA Inc,"November 1, 2023",mostly-true
Louis Jacobson,"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",Nikki Haley,"November 1, 2023",mostly-true
Ciara O'Rourke,Video shows Elon Musk said South Africans no longer have to work with access to his “platform.”,Viral image,"October 31, 2023",false
Ciara O'Rourke,Video shows singer Kelly Clarkson discussing a “weight loss formula.”,Viral image,"October 31, 2023",false
Ciara O'Rourke,“Palestinian journalist films the moment an Israeli strike kills him and a fellow medic on live TV” in October 2023.,Viral image,"October 31, 2023",false
Sara Swann,Rainbow fentanyl is a threat to children on Halloween.,Rick Scott,"October 31, 2023",false
Ciara O'Rourke,"“In UCLA hundreds of students chanting: ‘Israel Israel you can’t hide, we want Jewish genocide.’”",Instagram posts,"October 31, 2023",false
Ciara O'Rourke,The media didn’t cover “new history” when North Korea and South Korea’s leaders crossed the border for the first time.,Viral image,"October 31, 2023",false
Ciara O'Rourke,“Joe Biden confirms WW3 live on TV.”,Facebook posts,"October 31, 2023",false
Marta Campabadal,"Un nuevo subsidio del gobierno ofrece una tarjeta de salud con $1,200 al mes y “puedes usar el dinero para todo lo que desees o necesites"".",Facebook posts,"• October 31,",false
Loreben Tuquero,Photos show Gaza on Oct. 27.,Instagram posts,"October 31, 2023",false
Sara Swann,"Russian President Vladimir Putin suffered a heart attack Oct. 22, 2023.",Social Media,"October 31, 2023",false
Amy Sherman,“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,Ron DeSantis,"October 31, 2023",half-true
Madison Czopek,“Haaretz investigation reveals discrepancies in Israel’s reporting on October 7th death toll.”,Instagram posts,"October 31, 2023",false
Laura Schulte,"“Wisconsin has historically … and I think largely continues to be, a blue state.”",Scott Walker,"October 31, 2023",barely-true
Ciara O'Rourke,"“The airport in Salzburg, Austria, has a counter for people who flew to Austria instead of Australia.”",Instagram posts,"October 30, 2023",false
Ciara O'Rourke,Video shows Palestinians pretending to be corpses amid the Israel-Hamas war.,Viral image,"October 30, 2023",false
Loreben Tuquero,The life span of a wind tower generator lasts just three to four years.,Facebook posts,"October 30, 2023",false
Ciara O'Rourke,Matthew Perry died because of a COVID-19 vaccine.,Instagram posts,"October 30, 2023",false
Jill Terreri,A discrepancy in the number of ballots and voters in the 2022 general election in New York “appears to be a federal crime.”,New York Citizens Audit,"• October 29,",false
Madison Czopek,“The FDA is required to take the COVID vaccines off the market” because they are “adulterated.”,Steve Kirsch,"October 27, 2023",false
Ciara O'Rourke,McDonald’s changed its food wrappers to support Israel amid the war.,Viral image,"October 27, 2023",false
Louis Jacobson,“It is harder to buy Sudafed than an AR-15 in Maine.”,Shannon Watts,"October 27, 2023",half-true
Maria Briceño,"""Estados Unidos le cancelara el Parole a los venezolanos"".",Facebook posts,"October 27, 2023",false
Ricardo Torres,"The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County, which funds transit.""",Chris Larson,"October 27, 2023",barely-true
Ciara O'Rourke,U.S. Sen. Chuck Schumer “is a dual Israeli citizen.”,Viral image,"October 27, 2023",false
Ciara O'Rourke,Video shows a President Joe Biden impostor.,Viral image,"October 27, 2023",pants-fire
Louis Jacobson,“Prices have increased over 17% in the last two years.”,Mike Johnson,"October 26, 2023",half-true
Louis Jacobson,"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",Mike Johnson,"October 26, 2023",mostly-true
Louis Jacobson,"""95% of over-the-counter pharmaceuticals"" in the U.S. come from China.",Vivek Ramaswamy,"October 26, 2023",false
Louis Jacobson,"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",Donald Trump,"October 26, 2023",half-true
Madeline Heim,"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""",Opportunity Wisconsin,"October 25, 2023",half-true
Loreben Tuquero,A video proves that the United Nations is “setting up shop in U.S. states.”,Facebook posts,"October 25, 2023",false
Ciara O'Rourke,Video shows protesters attacking Israel’s embassy in Bahrain with molotov cocktails.,Instagram posts,"October 25, 2023",false
Ciara O'Rourke,Video shows protesters in Lebanon “storming the border with Palestine in support of Gaza” in October 2023.,Viral image,"October 25, 2023",false
Ciara O'Rourke,Photo shows President Joe Biden lounging on the beach in October 2023 amid the Israel-Hamas war.,Viral image,"October 25, 2023",false
Hope Karnopp,"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",Melissa Agard,"October 25, 2023",true
Ciara O'Rourke,Greta Thunberg urged people to use “vegan grenades” because “no animals should have to give their life for all this mayhem and chaos.”,Viral image,"October 25, 2023",false
Ciara O'Rourke,Writer Bari Weiss wrote that what the Trump administration did “was pretty incredible in hindsight.”,X posts,"October 25, 2023",false
Marta Campabadal,Este video muestra al Dr. Juan Rivera hablando sobre un medicamento para la artritis y la artrosis.,Facebook posts,"• October 24,",pants-fire
Maria Briceño,"Este video muestra al ""Presidente Joe Biden llegando a Israel"" con aviones escoltas.",Facebook posts,"October 24, 2023",false
Aidan Cornue,"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",One Nation,"October 24, 2023",barely-true
Ayden Norcross,Jim Justice “supports banning sporting rifles for law-abiding citizens.”,Alex Mooney,"October 24, 2023",false
Madison Ely,"Jim Justice ""opposes the Right to Work”",Alex Mooney,"October 24, 2023",barely-true
Loreben Tuquero,Video shows crisis actors in Palestine “working overtime to fool the world” during the current Israel-Hamas war.,Instagram posts,"October 24, 2023",false
Ciara O'Rourke,"Video shows University of Pennsylvania students chanting, “We want Jewish genocide.”",Viral image,"October 24, 2023",false
Maria Briceño,"Las empresas solares en Estados Unidos ""tienen que regalar paneles solares sin costo neto si lo solicitas"".",Facebook posts,"October 24, 2023",false
Loreben Tuquero,Black flag hoisted over a mosque in Iran is a “call to all of Islam for war.”,Facebook posts,"October 23, 2023",false
Ciara O'Rourke,Video shows Russia attacking Israel in October 2023.,TikTok posts,"October 23, 2023",false
Ciara O'Rourke,Video shows CNN interviewing “actors.”,TikTok posts,"October 23, 2023",false
Louis Jacobson,"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",Vivek Ramaswamy,"October 20, 2023",half-true
Marta Campabadal,"""AHORA: Manifestantes pro palestinos y policías se enfrentaron en las calles de Barcelona, ​​España. Las protestas son parte de represalias después del bombardeo de un hospital en Gaza"".",Facebook posts,"• October 20,",false
Madison Czopek,"Video shows North Korean President Kim Jong Un blaming President Joe Biden for the Israel-Hamas war and Russia’s invasion of Ukraine, and saying, “I support Donald Trump for President in 2024.”",Instagram posts,"October 20, 2023",false
Maria Ramirez,"“In the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and you know how many beds we have to detain people at the border? Thirty-eight thousand.""",Chris Christie,"• October 20,",mostly-true
Loreben Tuquero,A video shows “a car carrying men waving the Palestinian flag abruptly and dangerously stopping traffic to run ‘donuts.’”,Instagram posts,"October 20, 2023",false
Amy Sherman,“Nikki Haley argues in support of bringing Gaza refugees to America.”,Never Back Down PAC,"October 20, 2023",false
Maria Briceño,Joe Biden advirtió el 15 de octubre de 2023 “que Corea del Norte podría estar preparando un ataque parecido al Hamas en Israel pero este sería en suelo americano”.,Facebook posts,"October 20, 2023",false
Max Cohen,“2022 was the biggest tourism year ever in West Virginia”,Jim Justice,"October 20, 2023",half-true
Marta Campabadal,"Video shows a family learning their debt was resolved by the “American Debt Relief program” for American citizens and legal residents who “have over $20,000” in credit card debt.",Facebook posts,"• October 20,",false
Maria Briceño,"“A partir de ahora la milicia de Hamas se vio obligada a rendirse al ejército Israeli, ondeando sus banderas blancas"".",Facebook posts,"October 19, 2023",false
Anthony Starkey,“The Inflation Reduction Act led to higher taxes.”,Americans for Prosperity,"October 19, 2023",barely-true
Ashala Moseberry,"""Credit card debt is above $1 trillion for the FIRST TIME EVER.""",Jim Justice,"October 19, 2023",mostly-true
Samantha Putterman,The Wall Street Journal reported that the Oct. 17 Gaza hospital explosion was caused by an American missile.,Social Media,"October 18, 2023",false
Maria Briceño,Benjamin Netanyahu dijo que lanzará una bomba nuclear a Gaza.,Facebook posts,"October 18, 2023",false
Ciara O'Rourke,“Thousands of U.S. troops make their way to Israel” in video.,TikTok posts,"October 18, 2023",false
Ciara O'Rourke,Video shows “Egyptians delivering food and water to Gaza” in October 2023.,Instagram posts,"October 18, 2023",false
Ciara O'Rourke,President Joe Biden declared a federal emergency and deployed the National Guard in October.,Facebook posts,"October 18, 2023",false
Tyler Katzenberger,"There are ""about a half a dozen"" transgender athletes competing in Wisconsin K-12 schools.",Barbara Dittrich,"October 18, 2023",barely-true
Sara Swann,“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Instagram posts,"October 18, 2023",true
Amy Sherman,The Democrats are pushing “to take in a million Palestinian refugees.”,Andy Biggs,"October 18, 2023",pants-fire
Loreben Tuquero,A video shows President Joe Biden invoking the Selective Service Act.,Facebook posts,"October 17, 2023",false
Maria Briceño,Este video muestra “la franja de Gaza” en llamas.,TikTok posts,"October 16, 2023",false
Sara Swann,“Egypt is now at war with Israel.”,Facebook posts,"October 16, 2023",false
Jeff Cercone,“Cries of Victory in Israel — Gaza Now Belongs to Israel! HAMAS Surrenders Desperately!”,Facebook posts,"October 16, 2023",false
Loreben Tuquero,A debit card issued by the United Nations High Commissioner for Refugees is being used to pay for a U.S. invasion.,Instagram posts,"October 13, 2023",false
Loreben Tuquero,“There isn't a single video or photo suggesting that 250 people were killed (by Hamas) at a concert or that a mass shooting took place” on Oct. 7 in Israel.,Instagram posts,"October 13, 2023",pants-fire
Jeff Cercone,Biden is “funding every angle” of the Israel-Hamas war.,Instagram posts,"October 13, 2023",barely-true
Ciara O'Rourke,Video shows an “inflatable decoy plane” at the Kabul airport in 2021.,Viral image,"October 13, 2023",false
Amy Sherman,"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",Brian Krassenstein,"October 13, 2023",true
Sara Swann,Less than 48 hours after Israel was attacked “we have hundreds of hours worth of footage but zero footage from the Ukraine war.”,Instagram posts,"October 13, 2023",pants-fire
Loreben Tuquero,A video shows red flares and fireworks going off in Gaza.,Social Media,"October 13, 2023",false
Jeff Cercone,"""‎The emir of Qatar, Sheikh Tamim bin Hamad al-Thani, has threatened that if the bombing of Gaza does not stop, he will cut off the supply of gas to the world.”",Facebook posts,"October 13, 2023",false
Ciara O'Rourke,The 2023 Israel-Hamas war is a “false flag.”,Instagram posts,"October 13, 2023",pants-fire
Ciara O'Rourke,"""La Esfera de Las Vegas se ilumina con la bandera de Israel”.",Facebook posts,"October 13, 2023",false
Ciara O'Rourke,The Las Vegas Sphere displayed an Israeli flag.,X posts,"October 13, 2023",false
Ciara O'Rourke,Video shows recent violence in Israel and Gaza is “fake.”,Viral image,"October 13, 2023",false
Ciara O'Rourke,A CNN reporter “faked” being near the Israel-Gaza border.,Instagram posts,"October 13, 2023",false
Ciara O'Rourke,Video shows U.S. Navy pilots arriving in Palestine.,Viral image,"October 13, 2023",false
Maria Briceño,"""Estados Unidos lanza el primer ataque hacia Medio Oriente"" después del ataque de Hamas a Israel.",Facebook posts,"October 13, 2023",false
Maria Briceño,"Video muestra ""camión de la ONU traficando con niños” en Senegal.",Facebook posts,"October 13, 2023",false
Maria Briceño,"Este video muestra un ""contraataque israelí"" hacia Hamas en Gaza.",Facebook posts,"October 13, 2023",false
Ciara O'Rourke,“Kamala Harris is not a ‘natural born citizen’” and “can’t be president.”,Viral image,"October 12, 2023",pants-fire
Ciara O'Rourke,Video shows CNN “faking attack in Israel on the camera.”,Viral image,"October 12, 2023",false
Maria Ramirez,"“The same people that raided Israel are pouring into our once beautiful USA, through our TOTALLY OPEN SOUTHERN BORDER, at Record Numbers.”",Donald Trump,"• October 12,",pants-fire
Jacquie Broush,“Since Biden took office ... real wages have fallen monthly.”,West Virginia Republican Party,"October 12, 2023",mostly-true
Ciara O'Rourke,"Video shows President Joe Biden telling a child, “You’re one sexy kid.”",Instagram posts,"October 12, 2023",pants-fire
Ciara O'Rourke,Video shows the Secret Service failing to protect Kamala Harris after she became vice president.,Instagram posts,"October 12, 2023",false
Louis Jacobson,"""Sadly, American taxpayer dollars helped fund these attacks, which many reports are saying came from the Biden administration.”",Donald Trump,"October 11, 2023",false
Ciara O'Rourke,"Un video muestra cómo la ""Fuerza aérea de Israel ataca Gaza"" en octubre de 2023.",Facebook posts,"October 11, 2023",false
Ciara O'Rourke,Russian President Vladimir Putin “warns ‘global terrorist’ Klaus Schwab his ‘days are numbered.’”,Facebook posts,"October 11, 2023",false
Ciara O'Rourke,Video shows Israel’s Iron Dome intercepting rockets Hamas fired in October 2023.,Viral image,"October 11, 2023",false
Ciara O'Rourke,Video shows Hamas launching a “rocket attack.”,Facebook posts,"October 11, 2023",false
Maria Ramirez,"""There will not be another foot of wall constructed in my administration.”",Joe Biden,"• October 11,",full-flop
Sara Swann,"Video shows Will Smith and Jada Pinkett Smith advertising “$5,600 health spending cards.”",Facebook posts,"October 11, 2023",false
Loreben Tuquero,“The U.S. is sending $8 billion worth of military aid to Israel.”,Social Media,"October 11, 2023",false
Ciara O'Rourke,“Klaus Schwab announces the end of car ownership.”,Instagram posts,"October 11, 2023",false
Maria Briceño,Justin Trudeau’s plane was filled with cocaine when he landed in India for the G20 summit.,Facebook posts,"October 11, 2023",false
D.L. Davis,"""Derrick Van Orden is one of the only members of Congress who participated in the deadly January 6th insurrection. He now serves in the building he tried to burn down.""",Rebecca Cooke,"October 11, 2023",barely-true
Jeff Cercone,Video shows pro-Palestine march in Chicago on Oct. 8.,TikTok posts,"October 10, 2023",false
Louis Jacobson,"The Biden administration “wanted Israel to stand down after the attack"" by Hamas.",Tim Scott,"October 10, 2023",barely-true
Tayler Pillo,West Virginia University has “increased the amount of unfunded institutional aid provided to students and expects this amount to exceed $134 million in 2024.”,Paula Congelio,"October 10, 2023",half-true
Cody Matorin,E. Gordon Gee’s university projects have increased “WVU’s debt load by 55%.”,West Virginia University Faculty Senate,"October 10, 2023",barely-true
Ciara O'Rourke,"Former President Donald Trump said, “Israel has hypnotized the world.”",Viral image,"October 10, 2023",false
Griff Bihun,“Fewer than 2% of students are impacted whatsoever by the decisions we're making” to cut the budget.,E. Gordon Gee,"October 10, 2023",barely-true
Ciara O'Rourke,Video shows “second night of missiles attacks against Israel.”,Viral image,"October 10, 2023",false
Ciara O'Rourke,Video shows Hamas militants “dressing up as Jewish soldiers” to create propaganda.,Instagram posts,"October 10, 2023",false
Loreben Tuquero,"1,609 scientists signed a declaration saying “There is no climate emergency.”",X posts,"October 9, 2023",barely-true
Marta Campabadal,“Últimas noticias” de “congelamiento extremo” en Estados Unidos.,Facebook posts,"• October 9,",false
Grace Abels,Video of howling people in Germany shows “trans species rights” protest.,Instagram posts,"October 9, 2023",false
Ciara O'Rourke,Video shows footage of recent violence in Israel.,Facebook posts,"October 9, 2023",false
Madison Czopek,Footage shows “Palestinian freedom fighters shot down 4 Israelis fighter jets.”,Facebook posts,"October 9, 2023",false
Ciara O'Rourke,Video shows Iranian lawmakers chanting “death to America” in 2023.,Instagram posts,"October 9, 2023",false
Ciara O'Rourke,Video shows “Israeli Air Force…striking terror targets in Gaza” in October.,Facebook posts,"October 9, 2023",false
Ciara O'Rourke,Video shows Hamas “paraglided amongst Israeli citizens and proceeded to massacre them.”,Viral image,"October 9, 2023",false
Ciara O'Rourke,"“Israel just bombed and destroyed” St. Porphyrius Church in Gaza on Oct. 9, 2023.",Instagram posts,"October 9, 2023",false
Paul Specht,The North Carolina state budget includes “the largest cut in our personal income tax that we’ve ever seen.”,Tricia Cotham,"October 9, 2023",false
